bytes,hash,throughput_ns,latency_ns
4,absl,0.788,5.262
4,boost,1.152,6.409
4,floor,0.306,1.522
4,folly,3.029,8.040
4,udm4,1.576,5.631
4,udm5,1.575,5.699
5,absl,0.772,5.258
5,boost,1.145,6.195
5,floor,0.305,1.542
5,folly,3.113,8.090
5,udm4,1.563,5.632
5,udm5,1.560,5.639
6,absl,0.775,5.284
6,boost,1.144,6.218
6,floor,0.307,1.531
6,folly,3.207,8.104
6,udm4,1.563,5.659
6,udm5,1.561,5.652
7,absl,0.790,5.291
7,boost,1.154,6.229
7,floor,0.307,1.543
7,folly,3.400,8.114
7,udm4,1.575,5.667
7,udm5,1.575,5.662
8,absl,0.788,5.295
8,boost,1.843,6.235
8,floor,0.307,1.537
8,folly,3.061,8.112
8,udm4,1.375,5.661
8,udm5,1.376,5.663
9,absl,0.638,4.889
9,boost,2.394,6.266
9,floor,0.307,1.537
9,folly,3.150,8.110
9,udm4,1.376,5.674
9,udm5,1.375,5.663
10,absl,0.637,4.908
10,boost,2.394,6.280
10,floor,0.307,1.536
10,folly,3.165,8.083
10,udm4,1.375,5.654
10,udm5,1.375,5.662
11,absl,0.637,4.909
11,boost,2.396,6.278
11,floor,0.306,1.537
11,folly,3.363,8.122
11,udm4,1.376,5.668
11,udm5,1.377,5.672
12,absl,0.630,4.919
12,boost,2.063,6.240
12,floor,0.308,1.537
12,folly,3.158,8.112
12,udm4,1.376,5.651
12,udm5,1.376,5.684
13,absl,0.637,4.919
13,boost,2.068,6.241
13,floor,0.307,1.543
13,folly,3.174,8.139
13,udm4,1.377,5.674
13,udm5,1.377,5.669
14,absl,0.639,4.927
14,boost,2.071,6.263
14,floor,0.307,1.547
14,folly,3.381,8.133
14,udm4,1.379,5.691
14,udm5,1.378,5.694
15,absl,0.642,4.918
15,boost,2.078,6.249
15,floor,0.308,1.544
15,folly,3.457,8.128
15,udm4,1.388,5.673
15,udm5,1.387,5.671
16,absl,0.656,4.921
16,boost,2.765,9.696
16,floor,0.325,1.544
16,folly,5.910,13.238
16,udm4,1.366,5.670
16,udm5,1.361,5.673
17,absl,1.230,5.136
17,boost,3.335,9.614
17,floor,0.315,1.535
17,folly,5.991,12.952
17,udm4,1.803,6.767
17,udm5,1.570,6.020
18,absl,1.205,5.120
18,boost,3.303,9.701
18,floor,0.309,1.536
18,folly,5.893,13.222
18,udm4,1.784,6.799
18,udm5,1.564,6.058
19,absl,1.239,5.118
19,boost,3.319,9.667
19,floor,0.307,1.540
19,folly,6.082,13.222
19,udm4,1.793,6.801
19,udm5,1.555,6.079
20,absl,1.260,5.136
20,boost,2.959,9.686
20,floor,0.342,1.561
20,folly,6.035,13.083
20,udm4,1.830,6.835
20,udm5,1.562,6.099
21,absl,1.250,5.151
21,boost,2.952,9.722
21,floor,0.330,1.550
21,folly,6.115,13.249
21,udm4,1.820,6.813
21,udm5,1.574,6.079
22,absl,1.255,5.183
22,boost,2.964,9.773
22,floor,0.334,1.716
22,folly,6.099,13.421
22,udm4,1.834,6.878
22,udm5,1.571,6.120
23,absl,1.249,5.205
23,boost,2.955,9.831
23,floor,0.335,1.564
23,folly,6.079,13.450
23,udm4,1.808,6.900
23,udm5,1.575,6.150
24,absl,1.246,5.121
24,boost,3.328,10.093
24,floor,0.312,1.555
24,folly,5.890,13.149
24,udm4,1.803,6.860
24,udm5,1.574,6.089
25,absl,1.218,5.179
25,boost,3.865,10.231
25,floor,0.309,1.552
25,folly,5.752,13.340
25,udm4,1.789,6.849
25,udm5,1.570,6.103
26,absl,1.278,5.160
26,boost,3.932,10.253
26,floor,0.326,1.550
26,folly,6.182,13.484
26,udm4,1.815,6.828
26,udm5,1.577,6.084
27,absl,1.269,5.164
27,boost,3.908,10.227
27,floor,0.309,1.550
27,folly,6.224,13.677
27,udm4,1.815,6.843
27,udm5,1.578,6.104
28,absl,1.280,5.215
28,boost,3.600,10.267
28,floor,0.322,1.573
28,folly,5.960,13.585
