keys,hash,throughput_ns,latency_ns
8B,absl,0.675,5.229
8B,boost,1.793,6.160
8B,floor,0.304,1.512
8B,folly,2.941,8.024
8B,udm4,1.169,5.583
8B,udm5,1.172,5.600
16B,absl,0.633,4.841
16B,boost,2.708,9.554
16B,floor,0.302,1.508
16B,folly,5.816,13.059
16B,udm4,1.162,5.593
16B,udm5,1.164,5.593
32B,absl,1.198,5.027
32B,boost,3.521,10.018
32B,floor,0.307,1.513
32B,folly,6.034,13.078
32B,udm4,1.761,6.736
32B,udm5,1.371,5.992
64B,absl,2.728,6.979
64B,boost,5.354,10.678
64B,floor,0.342,1.530
64B,folly,9.839,17.832
64B,udm4,2.892,6.287
64B,udm5,2.549,6.414
128B,absl,4.344,8.664
128B,boost,8.921,12.272
128B,floor,0.328,1.541
128B,folly,18.904,27.510
128B,udm4,4.413,8.677
128B,udm5,4.423,7.325
256B,absl,6.968,11.144
256B,boost,15.737,18.912
256B,floor,0.354,1.553
256B,folly,26.171,32.517
256B,udm4,7.152,9.498
256B,udm5,7.181,9.495
mix,absl,2.253,6.345
mix,boost,4.480,9.484
mix,floor,0.302,1.518
mix,folly,8.804,15.513
mix,udm4,2.368,6.944
mix,udm5,2.221,6.293
